# ----------------------------------------,,,,,,,,
# 1 Master View,,,,,,,,
# Rendimiento del producto,,,,,,,,
# 20190101-20191231,,,,,,,,
# ----------------------------------------,,,,,,,,
,,,,,,,,
Producto,Ingresos del producto,Compras únicas,Cantidad,Precio medio,Cantidad media,Importe de reembolso del producto,Porcentaje carrito/detalle,Porcentaje compra/detalle
Android Super Hero 3D Framed Art,"68,00 US$",3,3,"22,67 US$","1,00","0,00 US$","10,48 %","0,57 %"
Google Crew Striped Athletic Sock,"67,98 US$",3,4,"17,00 US$","1,33","0,00 US$","25,17 %","0,41 %"
Google Women's Eco Tee Black,"65,97 US$",3,3,"21,99 US$","1,00","0,00 US$","37,70 %","4,92 %"
Google Dad Hat Maroon,"64,94 US$",6,6,"10,82 US$","1,00","0,00 US$","26,46 %","2,06 %"
Google Women's Outpost Vest,"63,99 US$",2,2,"32,00 US$","1,00","0,00 US$","12,83 %","0,20 %"
YouTube Crew Socks Summer 18,"63,96 US$",3,4,"15,99 US$","1,33","0,00 US$","22,50 %","0,34 %"
Google Confetti Pen White,"61,25 US$",16,35,"1,75 US$","2,19","0,00 US$","37,72 %","2,03 %"
Google Cup Cap Tumbler Grey,"60,00 US$",1,2,"30,00 US$","2,00","0,00 US$","10,24 %","0,12 %"
Google Heather Green Speckled Tee,"60,00 US$",2,2,"30,00 US$","1,00","0,00 US$","15,87 %","1,59 %"
Google Youth FC Longsleeve Charcoal,"60,00 US$",2,2,"30,00 US$","1,00","0,00 US$","13,65 %","0,32 %"
Google Premium Sunglasses,"59,99 US$",3,3,"20,00 US$","1,00","0,00 US$","10,63 %","0,22 %"
Google Snapback Black Cap,"59,97 US$",3,3,"19,99 US$","1,00","0,00 US$","12,07 %","0,20 %"
Robert Test,"58,40 US$",2,2,"29,20 US$","1,00","0,00 US$","0,00 %","0,00 %"
Android Pocket Tee Navy,"58,00 US$",2,2,"29,00 US$","1,00","0,00 US$","14,04 %","1,12 %"
Flamingo and Friends Tee Blue,"58,00 US$",2,2,"29,00 US$","1,00","0,00 US$","1,77 %","1,77 %"
Google Austin Campus Zip Hoodie,"58,00 US$",1,1,"58,00 US$","1,00","0,00 US$","0,00 %","6,25 %"
Google Campus Bike Carry Pouch,"57,99 US$",5,7,"8,28 US$","1,40","0,00 US$","28,41 %","0,64 %"
Google Cork Base Tumbler,"56,00 US$",2,2,"28,00 US$","1,00","0,00 US$","8,21 %","0,10 %"
Google Wallet Stand Black,"55,91 US$",8,14,"3,99 US$","1,75","0,00 US$","11,61 %","0,25 %"
Unisex Google Color Block Tee White,"55,10 US$",3,3,"18,37 US$","1,00","0,00 US$","12,70 %","4,76 %"
Google Crewneck Sweatshirt Green,"55,00 US$",1,1,"55,00 US$","1,00","0,00 US$","16,57 %","0,19 %"
Google Pride Tote Black,"55,00 US$",4,5,"11,00 US$","1,25","0,00 US$","16,99 %","0,32 %"
Android Twill Cap Black,"54,54 US$",5,6,"9,09 US$","1,20","0,00 US$","24,51 %","1,23 %"
YouTube Kids Onesie White,"52,00 US$",6,6,"8,67 US$","1,00","0,00 US$","31,07 %","0,39 %"
Android Mug Gray,"51,96 US$",3,4,"12,99 US$","1,33","0,00 US$","26,34 %","0,28 %"
Google Recycled Notebook Set Natural,"51,96 US$",3,4,"12,99 US$","1,33","0,00 US$","10,68 %","0,33 %"
Google Beanie Olive,"51,27 US$",3,3,"17,09 US$","1,00","0,00 US$","24,22 %","0,72 %"
Google Large Standard Journal Navy,"49,59 US$",4,4,"12,40 US$","1,00","0,00 US$","19,86 %","0,27 %"
Google Small Standard Journal Navy,"48,07 US$",4,4,"12,02 US$","1,00","0,00 US$","22,20 %","0,33 %"
Google Lapel Pin,"48,00 US$",3,6,"8,00 US$","2,00","0,00 US$","13,13 %","1,52 %"
Google Toddler Tee White,"48,00 US$",2,2,"24,00 US$","1,00","0,00 US$","20,93 %","0,16 %"
YouTube Transmission Bottle Black,"47,99 US$",2,2,"24,00 US$","1,00","0,00 US$","10,62 %","0,05 %"
Android Puzzlebot v2,"47,98 US$",3,3,"15,99 US$","1,00","0,00 US$","11,53 %","0,34 %"
Android Crew Socks Summer 18,"47,97 US$",3,3,"15,99 US$","1,00","0,00 US$","25,16 %","0,62 %"
Google Leather Strap Hat Black,"47,97 US$",3,3,"15,99 US$","1,00","0,00 US$","23,05 %","0,30 %"
Google Soft Modal Scarf,"45,00 US$",1,1,"45,00 US$","1,00","0,00 US$","11,06 %","0,05 %"
