SKU,Producto,Ingresos,ComprasUnicas,Cantidad,PrecioMedio,CantidadMedia,Reembolso,PorcentCarritoDetalle,PorcentCompraDetalle
GGOEGAEB102313,Google Black Tee,87.96,3.00,4,21.99,1.33,0.00 ,0.00 %,0.00 %
GGOEGAEL090817,Google Bike Tee Navy,87.96,4.00,4,21.99,1.00,0.00 ,0.00 %,0.00 %
GGOEGAEJ117515,Unisex Google Pocket Tee Grey,87.00,3.00,3,29.00,1.00,0.00 ,0.00 %,0.00 %
GGOEGAEJ117516,Unisex Google Pocket Tee Grey,87.00,3.00,3,29.00,1.00,0.00 ,0.00 %,0.00 %
GGOEGOAR090099,Google Light Pen Red,86.71,7.00,29,2.99,4.14,0.00 ,33.62 %,1.53 %
GGOEGAEH090617,Google Tee Green,85.76,5.00,5,17.15,1.00,0.00 ,0.00 %,0.00 %
GGOEGAEH104213,Google Tonal Tee Spearmint,85.76,6.00,6,14.29,1.00,0.00 ,0.00 %,0.00 %
GGOEGOAC121399,Google Pen Navy,85.75,24.00,49,1.75,2.04,0.00 ,39.00 %,3.52 %
GGOEGAEJ091215,Google Pullover Hoodie Grey,83.98,2.00,2,41.99,1.00,0.00 ,0.00 %,0.00 %
GGOEGAEJ091217,Google Pullover Hoodie Grey,83.98,2.00,2,41.99,1.00,0.00 ,0.00 %,0.00 %
GGOEGAEM104317,Google Tonal Tee Coral,83.57,5.00,6,13.93,1.20,0.00 ,0.00 %,0.00 %
GGOEGHPR118810,Google Leather Strap Hat Red,82.98,4.00,5,16.60,1.25,0.00 ,28.22 %,0.76 %
GGOEGCBA139199,Google Keychain,80.00,8.00,10,8.00,1.25,0.00 ,2.45 %,4.91 %
GGOEGADJ109515,Google Men's Outpost Vest,79.99,1.00,1,79.99,1.00,0.00 ,0.00 %,0.00 %
GGOEGADJ109513,Google Men's Outpost Vest,79.98,2.00,2,39.99,1.00,0.00 ,0.00 %,0.00 %
GGOEGADJ109518,Google Men's Outpost Vest,79.98,2.00,2,39.99,1.00,0.00 ,0.00 %,0.00 %
GGOEGADJ137113,Google Men's Tech Fleece Vest Charcoal,79.00,1.00,1,79.00,1.00,0.00 ,0.00 %,0.00 %
GGOEGADJ137114,Google Men's Tech Fleece Vest Charcoal,79.00,1.00,1,79.00,1.00,0.00 ,0.00 %,0.00 %
